Group,Head,Phone,Email,Website,Logo,Address,Lat,Long
Murchison & Cumming LLP,Dan L. Longo,714-972-9977 | 714-501-2838 (cell),dlongo@murchisonlaw.com,http://www.murchisonlaw.com/,./img/murchisonlaw_logo.jpg,801 South Grand Ave.  9th Floor  Los Angeles  CA 90017,34.04582516022879,-118.25831278939377
Murchison & Cumming LLP,Dan L. Longo,714-972-9977 | 714-501-2838 (cell),dlongo@murchisonlaw.com,http://www.murchisonlaw.com/,./img/murchisonlaw_logo.jpg,18201 Von Karmen Ave.  Suite 950  Irvine  CA 92612,33.67792215252319,-117.85361158940408
Murchison & Cumming LLP,Dan L. Longo,714-972-9977 | 714-501-2838 (cell),dlongo@murchisonlaw.com,http://www.murchisonlaw.com/,./img/murchisonlaw_logo.jpg,Symphony Towers  750 B St.  Suite 2250  San Diego  CA 92101,32.71801510760419,-117.15777531457059
Murchison & Cumming LLP,Dan L. Longo,714-972-9977 | 714-501-2838 (cell),dlongo@murchisonlaw.com,http://www.murchisonlaw.com/,./img/murchisonlaw_logo.jpg,Embarcodero Center West  275 Batter St.  Suite 850  San Francisco  CA 94111,37.79483557939933,-122.39845909225293
Murchison & Cumming LLP,Dan L. Longo,714-972-9977 | 714-501-2838 (cell),dlongo@murchisonlaw.com,http://www.murchisonlaw.com/,./img/murchisonlaw_logo.jpg,Tivoli Vilage  350 S. Rampart Blvd.  Suite 320  Las Vegas  NV 89145,36.16833188008888,-115.28529723166166
Murchison & Cumming LLP,Dan L. Longo,714-972-9977 | 714-501-2838 (cell),dlongo@murchisonlaw.com,http://www.murchisonlaw.com/,./img/murchisonlaw_logo.jpg,One Lakeshore Contre  281 E. Guosti Rd.  7th Floor  Ontario  CA 91761,34.06524354392385,-117.57948882987505
Deutsch Kerrigan LLP,Kelly E. Theard,504.593.0667,Ktheard@deutschkerrigan.com,https://www.deutschkerrigan.com/,./img/Deutsch_logo.jpg,755 Mogazine St.  New Orleans  LA 70130,29.94570668539517,-90.0694860031465
Deutsch Kerrigan LLP,Kelly E. Theard,504.593.0667,Ktheard@deutschkerrigan.com,https://www.deutschkerrigan.com/,./img/Deutsch_logo.jpg,2510 1th St.  Suite 101  Gulfport  MS 39501,30.373550700294057,-89.09082312961574
Kessler Collins,Gary Kessler,214.379.0700,gsk@kesslercollins.com,https://www.kesslercollins.com/,./img/Kessler_logo.jpg,2100 Ross Ave.  Suite 750  Dallas  TX 75201,32.78751353967546,-96.79752093004318
Kessler Collins,Gary Kessler,214.379.0700,gsk@kesslercollins.com,https://www.kesslercollins.com/,./img/Kessler_logo.jpg,700 Milam Suite 1300 Houston Texas 77002,29.760003685013, -95.3655542285836
Kessler Collins,Gary Kessler,214.379.0700,gsk@kesslercollins.com,https://www.kesslercollins.com/,./img/Kessler_logo.jpg,100 Congress Ave. Suite 2000 Austin Texas 78701,30.263488843206293, -97.74355623582446
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,700 Gloucester St.  Suite 301  Brunswick  GA 31520,31.149217235542267,-81.49294148776718
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,515 East Las Olas Blvd.  Suite 1400  Fort Lauderdale  FL 33301,26.120081816611275,-80.13807858791435
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,50 North Loure St.  Suite 2700 Jacksonville  FL 32202,26.251349838841183,-81.79737993208828
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,6525 Third St.  Suite 309 Rockledge  FL.32955,28.228621629753075,-80.67345946086843
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,Ponce de Leon Blvd.  Suite 300 Coral Gables  FL 33134,25.755249165461354,-80.25870269420516
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,9132 Strada Place  Suite 400  Naples  FL 34108,26.251349838841183,-81.79742284743025
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,3990 Hillsboro Pike  Suite 300  Nashville  TN 37215,36.10458547524729,-86.81420177410608
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,390 North Orange Ave.  Suite 1000  Orlando  FL 32801,28.547135982451664,-81.38005277435268
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,125 West Romana St.  Suite 202  Pensacola  FL 32502,30.410654681750533,-87.21749751662578
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,One North Central Ave.  Suite 885  Phoenix  AZ 65004,33.448510471432925,-112.07337484990866
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,1819 Main St.  Suite 910  Sorasota  FL 34236,27.33703564423963,-82.53359793205833
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,100 North Tampa St.  Suite 1800  Tampa  FL 33602,27.94545666048471,-82.45824428786368
Wicker Smith,Richards Ford,407.843.3939,rford@wickersmith.com,https://www.wickersmith.com/,./img/WickerSmith_logo.jpg,515 North Flagler Dr.  Suite 1600  West Palm Beach  FL 3340,26.71738031670746,-80.05142854556908
Roetzel & Andress,Brad Wright,330.849.6629,bwright@ralaw.com,https://www.ralaw.com/,./img/Roetzel_logo.jpg,222 South Main Street  Suite 400  Akron  OH 44308,41.07932517929361,-81.5206691315876
Roetzel & Andress,Brad Wright,330.849.6629,bwright@ralaw.com,https://www.ralaw.com/,./img/Roetzel_logo.jpg,30 N  LaSalle Street  Suite 2800  Chicago  IL 60602,41.88283510373866,-87.63291116039056
Roetzel & Andress,Brad Wright,330.849.6629,bwright@ralaw.com,https://www.ralaw.com/,./img/Roetzel_logo.jpg,625 Eden Park Drive  Suite 450  Cincinnati  OH 45202,39.11725960357359,-84.49871408748733
Roetzel & Andress,Brad Wright,330.849.6629,bwright@ralaw.com,https://www.ralaw.com/,./img/Roetzel_logo.jpg,1375 East Ninth Street  One Cleveland Center  10th Floor  Cleveland  OH 44114,41.503812084112674,-81.68934827382033
Roetzel & Andress,Brad Wright,330.849.6629,bwright@ralaw.com,https://www.ralaw.com/,./img/Roetzel_logo.jpg,41 South High Street  Huntington Center  21st Floor  Columbus  OH 43215,39.96106514977853,-83.00080834688406
Roetzel & Andress,Brad Wright,330.849.6629,bwright@ralaw.com,https://www.ralaw.com/,./img/Roetzel_logo.jpg,400 Renaissance Center  Suite 2600  Detroit  MI 48243,42.329156537731706,-83.03993138913333
